,Police_Force_Name,Year,Quarter,Offence_Group,Number_of_Arrests,Arrests_Ranked,Region,Level_of_Lockdown
65484,Dorset,2021,3,Criminal damage and arson,262,(200. 300],South West,Medium
50536,Staffordshire,2019,1,Sexual offences,4,(-0.001. 20.0],West Midlands,No Lockdown
20297,Nottinghamshire,2020,1,Theft offences,9,(-0.001. 20.0],East Midlands,High
86521,South Wales,2021,1,Violence against the person,1,(-0.001. 20.0],South West,Medium
50277,Staffordshire,2019,1,Theft offences,24,(20.0. 40.0],West Midlands,No Lockdown
37938,Gwent,2019,1,Drug offences,4,(-0.001. 20.0],South West,No Lockdown
74042,Metropolitan Police,2021,3,Public order offences,5,(-0.001. 20.0],South East,Medium
75514,North Yorkshire,2021,3,Public order offences,9,(-0.001. 20.0],North,Medium
32716,Derbyshire,2019,1,Theft offences,2,(-0.001. 20.0],West Midlands,No Lockdown
74076,Metropolitan Police,2021,3,Public order offences,6,(-0.001. 20.0],South East,Medium
89617,Cheshire,2021,1,Violence against the person,5,(-0.001. 20.0],West Midlands,Medium
86487,Nottinghamshire,2021,1,Public order offences,4,(-0.001. 20.0],East Midlands,Medium
108955,Sussex,2021,1,Theft offences,1,(-0.001. 20.0],South East,Medium
92126,Devon and Cornwall,2021,1,Violence against the person,7,(-0.001. 20.0],South West,Medium
40905,Lancashire,2019,1,Theft offences,9,(-0.001. 20.0],West Midlands,No Lockdown
77450,South Wales,2021,3,Sexual offences,1,(-0.001. 20.0],South West,Medium
98056,Humberside,2021,1,Violence against the person,41,(40.0. 60.0],East Midlands,Medium
109201,Sussex,2021,1,Public order offences,10,(-0.001. 20.0],South East,Medium
19557,Northumbria,2020,1,Theft offences,53,(40.0. 60.0],North,High
75118,North Wales,2021,3,Public order offences,48,(40.0. 60.0],South West,Medium
36741,Greater Manchester,2019,1,Criminal damage and arson,4,(-0.001. 20.0],West Midlands,No Lockdown
94057,Essex,2021,1,Violence against the person,8,(-0.001. 20.0],South East,Medium
97758,Humberside,2021,1,Theft offences,4,(-0.001. 20.0],East Midlands,Medium
20286,Nottinghamshire,2020,1,Theft offences,5,(-0.001. 20.0],East Midlands,High
9185,Essex,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
79408,Suffolk,2021,3,Violence against the person,7,(-0.001. 20.0],East Midlands,Medium
65096,Devon and Cornwall,2021,3,Violence against the person,203,(200. 300],South West,Medium
57937,Gloucestershire,2021,3,Sexual offences,74,(60.0. 80.0],South West,Medium
53141,Thames Valley,2019,1,Theft offences,2,(-0.001. 20.0],South East,No Lockdown
104485,Northumbria,2021,1,Violence against the person,5,(-0.001. 20.0],North,Medium
86250,North Yorkshire,2021,1,Drug offences,19,(-0.001. 20.0],North,Medium
17189,Norfolk,2020,1,Theft offences,40,(20.0. 40.0],East Midlands,High
26240,West Mercia,2020,1,Violence against the person,10,(-0.001. 20.0],South West,High
89432,Cheshire,2021,1,Violence against the person,400,(300. 400],West Midlands,Medium
3085,Bedfordshire,2020,1,Sexual offences,1,(-0.001. 20.0],South East,High
111825,West Yorkshire,2021,1,Sexual offences,9,(-0.001. 20.0],East Midlands,Medium
64115,Derbyshire,2021,3,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
18966,Northamptonshire,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
65656,Dorset,2021,3,Public order offences,10,(-0.001. 20.0],South West,Medium
62432,Cambridgeshire,2021,3,Public order offences,1,(-0.001. 20.0],East Midlands,Medium
64398,Derbyshire,2021,3,Criminal damage and arson,5,(-0.001. 20.0],West Midlands,Medium
98811,Lancashire,2021,1,Violence against the person,19,(-0.001. 20.0],West Midlands,Medium
72417,Leicestershire,2021,3,Public order offences,2,(-0.001. 20.0],East Midlands,Medium
24228,Sussex,2020,1,Public order offences,9,(-0.001. 20.0],South East,High
36309,Gloucestershire,2019,1,Drug offences,6,(-0.001. 20.0],South West,No Lockdown
107872,Suffolk,2021,1,Theft offences,123,(120.0. 140.0],East Midlands,Medium
96343,Gwent,2021,1,Public order offences,8,(-0.001. 20.0],South West,Medium
12043,Humberside,2020,1,Sexual offences,39,(20.0. 40.0],East Midlands,High
34073,Dorset,2019,1,Theft offences,1,(-0.001. 20.0],South West,No Lockdown
68782,Gwent,2021,3,Theft offences,24,(20.0. 40.0],South West,Medium
41710,Leicestershire,2019,1,Violence against the person,20,(-0.001. 20.0],East Midlands,No Lockdown
77894,South Wales,2021,3,Drug offences,2,(-0.001. 20.0],South West,Medium
64952,Devon and Cornwall,2021,3,Criminal damage and arson,4,(-0.001. 20.0],South West,Medium
110826,West Mercia,2021,1,Theft offences,14,(-0.001. 20.0],South West,Medium
81375,Thames Valley,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
71499,Lancashire,2021,3,Criminal damage and arson,2,(-0.001. 20.0],West Midlands,Medium
36573,Greater Manchester,2019,1,Violence against the person,321,(300. 400],West Midlands,No Lockdown
72440,Lincolnshire,2021,3,Violence against the person,9,(-0.001. 20.0],East Midlands,Medium
111282,West Midlands,2021,1,Sexual offences,37,(20.0. 40.0],West Midlands,Medium
59822,South Yorkshire,2021,3,Theft offences,40,(20.0. 40.0],East Midlands,Medium
27127,West Yorkshire,2020,1,Sexual offences,5,(-0.001. 20.0],East Midlands,High
98622,Kent,2021,1,Sexual offences,1,(-0.001. 20.0],South East,Medium
50245,Staffordshire,2019,1,Violence against the person,59,(40.0. 60.0],West Midlands,No Lockdown
78065,South Yorkshire,2021,3,Sexual offences,7,(-0.001. 20.0],East Midlands,Medium
66587,Dyfed-Powys,2021,3,Violence against the person,40,(20.0. 40.0],South West,Medium
108517,Surrey,2021,1,Criminal damage and arson,3,(-0.001. 20.0],South East,Medium
102440,Norfolk,2021,1,Sexual offences,5,(-0.001. 20.0],East Midlands,Medium
56720,Wiltshire,2019,1,Sexual offences,4,(-0.001. 20.0],South West,No Lockdown
78364,South Yorkshire,2021,3,Criminal damage and arson,16,(-0.001. 20.0],East Midlands,Medium
71303,Lancashire,2021,3,Sexual offences,1,(-0.001. 20.0],West Midlands,Medium
84734,Devon and Cornwall,2021,1,Public order offences,2,(-0.001. 20.0],South West,Medium
43994,Metropolitan Police,2019,1,Violence against the person,2,(-0.001. 20.0],South East,No Lockdown
47417,Northumbria,2019,1,Public order offences,7,(-0.001. 20.0],North,No Lockdown
18645,North Yorkshire,2020,1,Drug offences,1,(-0.001. 20.0],North,High
5488,Cleveland,2020,1,Violence against the person,1,(-0.001. 20.0],North,High
61583,Bedfordshire,2021,3,Theft offences,22,(20.0. 40.0],South East,Medium
4700,Cheshire,2020,1,Theft offences,7,(-0.001. 20.0],West Midlands,High
1179,Metropolitan Police,2020,1,Public order offences,6,(-0.001. 20.0],South East,High
46773,Northamptonshire,2019,1,Criminal damage and arson,1,(-0.001. 20.0],East Midlands,No Lockdown
75414,North Yorkshire,2021,3,Theft offences,206,(200. 300],North,Medium
1036,Leicestershire,2020,1,Sexual offences,3,(-0.001. 20.0],East Midlands,High
35940,Essex,2019,1,Theft offences,18,(-0.001. 20.0],South East,No Lockdown
87609,Avon and Somerset,2021,1,Sexual offences,3,(-0.001. 20.0],South West,Medium
92233,Devon and Cornwall,2021,1,Public order offences,1,(-0.001. 20.0],South West,Medium
63086,Cheshire,2021,3,Drug offences,1,(-0.001. 20.0],West Midlands,Medium
12435,Humberside,2020,1,Public order offences,3,(-0.001. 20.0],East Midlands,High
104473,Northumbria,2021,1,Violence against the person,941,(900. 1000],North,Medium
13222,Kent,2020,1,Drug offences,1,(-0.001. 20.0],South East,High
48798,South Wales,2019,1,Violence against the person,1359,(1300. 1400],South West,No Lockdown
97312,Hertfordshire,2021,1,Criminal damage and arson,4,(-0.001. 20.0],South East,Medium
37806,Gwent,2019,1,Sexual offences,5,(-0.001. 20.0],South West,No Lockdown
65992,Durham,2021,3,Criminal damage and arson,2,(-0.001. 20.0],North,Medium
80055,Surrey,2021,3,Theft offences,1,(-0.001. 20.0],South East,Medium
89163,Cambridgeshire,2021,1,Criminal damage and arson,1,(-0.001. 20.0],East Midlands,Medium
61793,Bedfordshire,2021,3,Violence against the person,2,(-0.001. 20.0],South East,Medium
68,Avon and Somerset,2020,1,Drug offences,25,(20.0. 40.0],South West,High
106864,South Yorkshire,2021,1,Sexual offences,1,(-0.001. 20.0],East Midlands,Medium
33084,Devon and Cornwall,2019,1,Violence against the person,2,(-0.001. 20.0],South West,No Lockdown
4697,Cheshire,2020,1,Theft offences,1,(-0.001. 20.0],West Midlands,High
71137,Kent,2021,3,Public order offences,1,(-0.001. 20.0],South East,Medium
71959,Leicestershire,2021,3,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
78636,South Yorkshire,2021,3,Public order offences,24,(20.0. 40.0],East Midlands,Medium
60918,Avon and Somerset,2021,3,Sexual offences,10,(-0.001. 20.0],South West,Medium
43513,Merseyside,2019,1,Public order offences,4,(-0.001. 20.0],West Midlands,No Lockdown
40164,Kent,2019,1,Criminal damage and arson,78,(60.0. 80.0],South East,No Lockdown
20405,Nottinghamshire,2020,1,Public order offences,1,(-0.001. 20.0],East Midlands,High
42634,Lincolnshire,2019,1,Public order offences,2,(-0.001. 20.0],East Midlands,No Lockdown
85027,Gloucestershire,2021,1,Violence against the person,1,(-0.001. 20.0],South West,Medium
28152,Avon and Somerset,2019,1,Violence against the person,59,(40.0. 60.0],South West,No Lockdown
97500,Hertfordshire,2021,1,Public order offences,8,(-0.001. 20.0],South East,Medium
3450,Bedfordshire,2020,1,Violence against the person,157,(140.0. 160.0],South East,High
49778,South Yorkshire,2019,1,Violence against the person,4,(-0.001. 20.0],East Midlands,No Lockdown
34764,Durham,2019,1,Violence against the person,9,(-0.001. 20.0],North,No Lockdown
53136,Thames Valley,2019,1,Public order offences,2,(-0.001. 20.0],South East,No Lockdown
47407,Northumbria,2019,1,Violence against the person,7,(-0.001. 20.0],North,No Lockdown
66215,Durham,2021,3,Public order offences,41,(40.0. 60.0],North,Medium
42536,Lincolnshire,2019,1,Criminal damage and arson,16,(-0.001. 20.0],East Midlands,No Lockdown
53039,Thames Valley,2019,1,Theft offences,1,(-0.001. 20.0],South East,No Lockdown
90534,Cleveland,2021,1,Public order offences,26,(20.0. 40.0],North,Medium
31648,Cumbria,2019,1,Violence against the person,15,(-0.001. 20.0],North,No Lockdown
77813,South Wales,2021,3,Violence against the person,3,(-0.001. 20.0],South West,Medium
71129,Kent,2021,3,Drug offences,61,(60.0. 80.0],South East,Medium
108127,Suffolk,2021,1,Drug offences,1,(-0.001. 20.0],East Midlands,Medium
2017,West Midlands,2020,1,Theft offences,1,(-0.001. 20.0],West Midlands,High
111477,West Midlands,2021,1,Violence against the person,1,(-0.001. 20.0],West Midlands,Medium
1277,North Wales,2020,1,Sexual offences,1,(-0.001. 20.0],South West,High
86511,South Wales,2021,1,Theft offences,24,(20.0. 40.0],South West,Medium
95165,Greater Manchester,2021,1,Sexual offences,41,(40.0. 60.0],West Midlands,Medium
95415,Greater Manchester,2021,1,Theft offences,28,(20.0. 40.0],West Midlands,Medium
112738,Wiltshire,2021,1,Drug offences,18,(-0.001. 20.0],South West,Medium
43349,Merseyside,2019,1,Violence against the person,3,(-0.001. 20.0],West Midlands,No Lockdown
58987,Merseyside,2021,3,Theft offences,28,(20.0. 40.0],West Midlands,Medium
52000,Sussex,2019,1,Theft offences,2,(-0.001. 20.0],South East,No Lockdown
71338,Lancashire,2021,3,Theft offences,36,(20.0. 40.0],West Midlands,Medium
71777,Leicestershire,2021,3,Violence against the person,2,(-0.001. 20.0],East Midlands,Medium
43393,Merseyside,2019,1,Violence against the person,6,(-0.001. 20.0],West Midlands,No Lockdown
104366,Northamptonshire,2021,1,Violence against the person,60,(40.0. 60.0],East Midlands,Medium
93238,Durham,2021,1,Drug offences,1,(-0.001. 20.0],North,Medium
9680,Essex,2020,1,Drug offences,1,(-0.001. 20.0],South East,High
25188,Thames Valley,2020,1,Public order offences,1,(-0.001. 20.0],South East,High
54157,West Mercia,2019,1,Theft offences,3,(-0.001. 20.0],South West,No Lockdown
82615,West Midlands,2021,3,Sexual offences,5,(-0.001. 20.0],West Midlands,Medium
107551,Staffordshire,2021,1,Violence against the person,17,(-0.001. 20.0],West Midlands,Medium
8237,Durham,2020,1,Theft offences,1,(-0.001. 20.0],North,High
78279,South Yorkshire,2021,3,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
70140,Humberside,2021,3,Theft offences,1,(-0.001. 20.0],East Midlands,Medium
76458,Northumbria,2021,3,Theft offences,1,(-0.001. 20.0],North,Medium
46462,North Yorkshire,2019,1,Sexual offences,1,(-0.001. 20.0],North,No Lockdown
49391,South Yorkshire,2019,1,Violence against the person,6,(-0.001. 20.0],East Midlands,No Lockdown
63655,Cleveland,2021,3,Public order offences,32,(20.0. 40.0],North,Medium
90724,Cumbria,2021,1,Violence against the person,6,(-0.001. 20.0],North,Medium
21568,South Yorkshire,2020,1,Theft offences,27,(20.0. 40.0],East Midlands,High
41790,Leicestershire,2019,1,Criminal damage and arson,2,(-0.001. 20.0],East Midlands,No Lockdown
48942,South Wales,2019,1,Theft offences,7,(-0.001. 20.0],South West,No Lockdown
72028,Leicestershire,2021,3,Public order offences,1,(-0.001. 20.0],East Midlands,Medium
37647,Gwent,2019,1,Criminal damage and arson,1,(-0.001. 20.0],South West,No Lockdown
112249,West Yorkshire,2021,1,Violence against the person,37,(20.0. 40.0],East Midlands,Medium
3881,Cambridgeshire,2020,1,Violence against the person,5,(-0.001. 20.0],East Midlands,High
28291,Avon and Somerset,2019,1,Sexual offences,2,(-0.001. 20.0],South West,No Lockdown
63446,Cleveland,2021,3,Criminal damage and arson,24,(20.0. 40.0],North,Medium
53384,Thames Valley,2019,1,Sexual offences,8,(-0.001. 20.0],South East,No Lockdown
51627,Surrey,2019,1,Public order offences,4,(-0.001. 20.0],South East,No Lockdown
21409,South Yorkshire,2020,1,Theft offences,1,(-0.001. 20.0],East Midlands,High
61438,Bedfordshire,2021,3,Violence against the person,6,(-0.001. 20.0],South East,Medium
45871,North Wales,2019,1,Sexual offences,6,(-0.001. 20.0],South West,No Lockdown
56972,Bedfordshire,2021,3,Public order offences,38,(20.0. 40.0],South East,Medium
81355,Thames Valley,2021,3,Public order offences,15,(-0.001. 20.0],South East,Medium
64778,Devon and Cornwall,2021,3,Theft offences,1,(-0.001. 20.0],South West,Medium
52013,Sussex,2019,1,Criminal damage and arson,1,(-0.001. 20.0],South East,No Lockdown
51874,Surrey,2019,1,Theft offences,8,(-0.001. 20.0],South East,No Lockdown
68115,Greater Manchester,2021,3,Theft offences,4,(-0.001. 20.0],West Midlands,Medium
18185,North Yorkshire,2020,1,Violence against the person,1,(-0.001. 20.0],North,High
95845,Greater Manchester,2021,1,Public order offences,101,(100.0. 120.0],West Midlands,Medium
67878,Greater Manchester,2021,3,Sexual offences,2,(-0.001. 20.0],West Midlands,Medium
24649,Thames Valley,2020,1,Sexual offences,28,(20.0. 40.0],South East,High
10209,Gloucestershire,2020,1,Public order offences,197,(180.0. 200.0],South West,High
20213,Nottinghamshire,2020,1,Theft offences,6,(-0.001. 20.0],East Midlands,High
28168,Avon and Somerset,2019,1,Theft offences,1,(-0.001. 20.0],South West,No Lockdown
26696,West Midlands,2020,1,Theft offences,3,(-0.001. 20.0],West Midlands,High
2698,Avon and Somerset,2020,1,Criminal damage and arson,8,(-0.001. 20.0],South West,High
32687,Derbyshire,2019,1,Theft offences,32,(20.0. 40.0],West Midlands,No Lockdown
60263,Thames Valley,2021,3,Sexual offences,1,(-0.001. 20.0],South East,Medium
12987,Kent,2020,1,Criminal damage and arson,220,(200. 300],South East,High
37269,Greater Manchester,2019,1,Violence against the person,10,(-0.001. 20.0],West Midlands,No Lockdown
61915,British Transport Police,2021,3,Theft offences,6,(-0.001. 20.0],British Transport Police,Medium
8469,Durham,2020,1,Violence against the person,8,(-0.001. 20.0],North,High
56660,Wiltshire,2019,1,Public order offences,10,(-0.001. 20.0],South West,No Lockdown
29892,Cambridgeshire,2019,1,Violence against the person,2,(-0.001. 20.0],East Midlands,No Lockdown
68031,Greater Manchester,2021,3,Theft offences,7,(-0.001. 20.0],West Midlands,Medium
81797,Warwickshire,2021,3,Public order offences,4,(-0.001. 20.0],West Midlands,Medium
107353,Staffordshire,2021,1,Theft offences,5,(-0.001. 20.0],West Midlands,Medium
76263,Northumbria,2021,3,Violence against the person,1,(-0.001. 20.0],North,Medium
38576,Hampshire,2019,1,Sexual offences,1,(-0.001. 20.0],South East,No Lockdown
84398,Cambridgeshire,2021,1,Public order offences,4,(-0.001. 20.0],East Midlands,Medium
60201,Sussex,2021,3,Criminal damage and arson,3,(-0.001. 20.0],South East,Medium
103848,North Yorkshire,2021,1,Violence against the person,54,(40.0. 60.0],North,Medium
86235,North Yorkshire,2021,1,Sexual offences,1,(-0.001. 20.0],North,Medium
59467,Northamptonshire,2021,3,Theft offences,59,(40.0. 60.0],East Midlands,Medium
95897,Gwent,2021,1,Violence against the person,8,(-0.001. 20.0],South West,Medium
42178,Leicestershire,2019,1,Sexual offences,2,(-0.001. 20.0],East Midlands,No Lockdown
89891,Cheshire,2021,1,Violence against the person,49,(40.0. 60.0],West Midlands,Medium
22626,Suffolk,2020,1,Sexual offences,1,(-0.001. 20.0],East Midlands,High
11295,Hampshire,2020,1,Violence against the person,11,(-0.001. 20.0],South East,High
37495,Gwent,2019,1,Theft offences,345,(300. 400],South West,No Lockdown
23532,Surrey,2020,1,Public order offences,1,(-0.001. 20.0],South East,High
103520,North Yorkshire,2021,1,Sexual offences,3,(-0.001. 20.0],North,Medium
86835,Surrey,2021,1,Theft offences,6,(-0.001. 20.0],South East,Medium
25720,Warwickshire,2020,1,Public order offences,164,(160.0. 180.0],West Midlands,High
94723,Gloucestershire,2021,1,Theft offences,2,(-0.001. 20.0],South West,Medium
111979,West Yorkshire,2021,1,Theft offences,53,(40.0. 60.0],East Midlands,Medium
50754,Suffolk,2019,1,Theft offences,31,(20.0. 40.0],East Midlands,No Lockdown
86907,Sussex,2021,1,Theft offences,4,(-0.001. 20.0],South East,Medium
31122,Cleveland,2019,1,Violence against the person,5,(-0.001. 20.0],North,No Lockdown
101678,Metropolitan Police,2021,1,Sexual offences,11,(-0.001. 20.0],South East,Medium
76751,Northumbria,2021,3,Public order offences,13,(-0.001. 20.0],North,Medium
83872,Wiltshire,2021,3,Sexual offences,2,(-0.001. 20.0],South West,Medium
