Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
c52cd9b20143b676db3ac70c2d459cb437fb0d0cd42a8289665f315b01f2a848,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
3f17bc1af2d34c60f7e99a415404a63f68d7d55cbf19045c2eaa7170059119d1,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e0a04f51f29b6b3cd31d7dea925848243de388a0f8c04c42f13e4e0e352519f3,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d6998de876414a218bb40bc4e14c50e0570c6dd5e91a269d724b45522978417b,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
a832443329067233f38d81a964fb317dbc242e358a223bb5240b5d2fd9e79734,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
fdff198293c231320ca70535e02e95847494e2e69c56faaf57a18d42ee93d2cb,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.553119,51.508138,On or near Supermarket,E01014981,South Gloucestershire 017B,Suspect charged
903a71bf4fc87444b6a360bbc10e2ba97ccae62b6edd8842a64e652fa07cce6c,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-3.111746,51.015266,On or near Supermarket,E01029302,Taunton Deane 011D,Suspect charged
c64522faad2f6550c575b7b6b2409c4b726ecd4f29af891b679f10e07dd0b947,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.539325,51.322155,On or near GOLDNEY CLOSE,E01014419,Bath and North East Somerset 020C,Unable to prosecute suspect
66c47c08757b688134c6a0bbeb3ed7fbc745f9d294eee8e1ed2a440c1c7d8907,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.619602,50.948557,On or near GLENVILLE ROAD,E01029240,South Somerset 015D,Unable to prosecute suspect
f04e00ad3a637d3d6c4c062aac6ed65eb0ddedf80ed12ca4639abb4394b9d564,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.976941,51.225156,On or near OLD BURNHAM ROAD,E01029134,Sedgemoor 005E,Suspect charged
b335ac6ffe5c57ea466fef14037844a545037dcac37e3258b39a949e3ef6ce04,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.517539,51.479833,On or near LEDBURY ROAD,E01032519,Bristol 018F,Unable to prosecute suspect
c266c95261dd8741dc775ed0b5a4b96307937ba93fc1659b8f5aea105c713240,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.728082,51.053708,On or near MARKET PLACE,E01029226,South Somerset 003C,Local resolution
47a184a1507283ee70403d9711cf17287a42544b88577732890c673c06485b2e,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.505578,51.462100,On or near HANHAM ROAD,E01015007,South Gloucestershire 028D,Unable to prosecute suspect
c1112a9ec7b76a2685dc560d82b1a1ec439f0b42df8670a802e19192f5de8956,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.963422,50.871119,On or near MILL LANE,E01029175,South Somerset 023D,Unable to prosecute suspect
fdee4cb721cfa45ce4de8c72568827e5f6e9d3ad691695af29d53c17a3f15bd9,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
28674b420eb38f3434398347c212b4d883fc3d0bd6830c5c7b38b965802ffc5b,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.537689,51.478978,On or near Parking Area,E01014572,Bristol 019A,Formal action is not in the public interest
e08377d0bb0e47cc43431e73aa999ff46044835025188adbdbeb5c6c98e75a60,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,-2.580059,51.459057,On or near WADE STREET,E01033358,Bristol 054D,Unable to prosecute suspect
095fc44914c9dba281f93acf0cb40886c3522a7dda915b08788f3a74b06d272f,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d55fdb88f12481eb998c3aa0b045116788b7c4bf4090b5a8450557b166aa78a2,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
45f778797af4d467e2489cbe1afeaeb1c9711c270df4a45ad85f73f5fd2dfe5b,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
9bc052fc5f99e2cad5343f643c77254bc3682f1380bb022ecc52580d2c62670f,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
2cb09a4856bef609e38ca39ed2667e3371e6a46be68670fdebc2f5af44976ef6,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
eba2d60ecd5cfd9e86d9e466ec3a6ee7ee7382a1046530fb7e8adeeb48ecb930,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
4a723738ae3d8d3c128136ab6da3cdf4e14927978f822254d8e8cbc51acacca1,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
afa49197d60306304b8d53464f3c266a62f2d70f622f87030cc0f2464a65ed72,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
a736863b9391682cd57fc29df343ca668ffc1352769058a751aae8d097f402f4,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
abfffb7921804d638dd291ef7326400013f338c8fd3f1238a3d047dacd51fddb,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
4a2612212f13cdb28e26a6cf563445ffa3a3406ea007b4cec3ea988191692d4c,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
02d1ba358399534aafa01d4ac6835fcdeaa1ba85094fb26633a29f720304f3c2,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
484ac6145faeb1623a3d675611b1887c5f0c90c681b90b6b3c55fc1ed091e0d0,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d1d398bb5ed580f7af052999f342034703cd030f4ff340f4d8062f69ca743990,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
b926fac5b9624b7be9ea16c6216a0f4e4dd588c9886ff9e34113719c54ef61b3,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
d4241e50065b6c3a87e3787455f70ed646190f0fd3312fb273e50971e74664d4,2020-03,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
